,bitter,meaty,piquant,salty,sour,sweet
3-Ingredient-Brownies-1583683,0.166666666667,0.166666666667,0.0,0.0,0.166666666667,0.833333333333
3-Ingredient-Chocolate-Hazelnut-_Nutella_-Brownies-1642812,0.5,0.833333333333,0.0,0.333333333333,0.0,0.833333333333
4-Ingredient-Beetroot-Brownies-1231758,0.333333333333,0.166666666667,0.0,0.166666666667,0.166666666667,0.833333333333
5-Ingredient-Fudgy-Flourless-Protein-Brownies-1551785,0.666666666667,0.166666666667,0.0,0.166666666667,0.666666666667,0.666666666667
Almond-Brownies-with-Dulce-de-Leche-1577244,0.166666666667,0.833333333333,0.0,0.166666666667,0.0,0.833333333333
Amazing-Low-Carb-Brownies-839365,0.833333333333,0.166666666667,0.0,0.833333333333,0.166666666667,0.166666666667
Avocado-Brownies-1037603,0.833333333333,0.666666666667,0.0,0.666666666667,0.5,0.666666666667
Avocado-Brownies-1489623,0.833333333333,0.666666666667,0.0,0.166666666667,0.333333333333,0.666666666667
Avocado-Brownies-539107,0.666666666667,0.333333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Avocado-Quinoa-Brownies-1171350,0.833333333333,0.333333333333,0.0,0.166666666667,0.166666666667,0.666666666667
Bailey_s-Irish-Cream-Brownies-1564722,0.166666666667,0.833333333333,0.0,0.333333333333,0.0,0.833333333333
Bakery-Style-Frosted-Brownies-1633075,,,,,,
Basic-Fudgy-Brownies-990482,,,,,,
Best-Ever-Fudge-Brownies-1049494,0.166666666667,0.333333333333,0.0,0.333333333333,0.0,0.833333333333
Best-Oreo-Brownies-Ever-1167696,0.166666666667,0.666666666667,0.0,0.666666666667,0.0,0.333333333333
Better-Than-Brownies-Cookies-1094924,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Big-Batch-Fudgy-Brownies-1059708,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Big_-Fat_-Moist-Brownies-1175370,0.333333333333,0.5,0.0,0.333333333333,0.166666666667,0.833333333333
Biscoff-Rolo-Blondie-Brownies-1128891,,,,,,
Bisquick-Brownies-678986,,,,,,
Black-Bean-Brownies-1642084,0.666666666667,0.333333333333,0.0,0.833333333333,0.166666666667,0.833333333333
Black-Forest-Brownies-1638586,,,,,,
Black-Forest-Brownies-979272,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.833333333333
Blonde-Brownies-1339795,0.666666666667,0.666666666667,0.0,0.833333333333,0.166666666667,0.833333333333
Blueberry-Brownies-1177885,0.166666666667,0.166666666667,0.0,0.666666666667,0.166666666667,0.833333333333
Blueberry-Brownies-685591,0.166666666667,0.333333333333,0.0,0.5,0.166666666667,0.833333333333
Boozy-Brownies-1007641,0.166666666667,0.666666666667,0.0,0.333333333333,0.166666666667,0.833333333333
Boozy-Raspberry-Poke-Brownies-1219447,0.166666666667,0.166666666667,0.0,0.166666666667,0.0,0.333333333333
Boston-Cooking-School-Brownies-440714,0.333333333333,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Breakfast-Brownies-1377805,,,,,,
Brittle-and-jam-blonde-brownies-309059,0.166666666667,0.333333333333,0.0,0.333333333333,0.166666666667,0.833333333333
Brookies-_Brownie-Cookies_-1605167,0.5,0.666666666667,0.0,0.666666666667,0.0,0.833333333333
Brownie-531882,,,,,,
Brownie-898499,0.166666666667,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Brownie-BOMB-Bars_-1631592,,,,,,
Brownie-Baklava-1031055,0.166666666667,0.833333333333,0.0,0.166666666667,0.166666666667,0.833333333333
Brownie-Banana-Splits-1638557,,,,,,
Brownie-Batter-Cheeseball-1493323,,,,,,
Brownie-Batter-Dip-1183927,0.166666666667,0.5,0.0,0.166666666667,0.166666666667,0.833333333333
Brownie-Batter-Muddy-Buddies-1416593,,,,,,
Brownie-Biscoff-Puppy-Chow-1638684,,,,,,
Brownie-Biscotti-Allrecipes,0.833333333333,0.666666666667,0.0,0.666666666667,0.166666666667,0.833333333333
Brownie-Bottom-Cookie-Dough-Cheesecake-1505145,0.166666666667,0.666666666667,0.0,0.166666666667,0.166666666667,0.833333333333
Brownie-Bowl-Sundaes-1216146,,,,,,
Brownie-Brittles-1347617,0.5,0.333333333333,0.0,0.833333333333,0.0,0.833333333333
Brownie-Buttons-MyRecipes-234834,,,,,,
Brownie-Caramel-Cheesecake-1239473,,,,,,
Brownie-Crusted-Cookie-Dough-Cheesecake-1634074,0.166666666667,0.666666666667,0.0,0.166666666667,0.333333333333,0.833333333333
Brownie-Enormous-474724,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Brownie-Fruit-Pizza-1587426,,,,,,
Brownie-Ice-Cream-513417,0.166666666667,0.666666666667,0.0,0.166666666667,0.166666666667,0.833333333333
Brownie-Mix-1204617,,,,,,
Brownie-Protein-Parfait-1080383,,,,,,
Brownie-Pudding-475045,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Brownie-Pudding-539887,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Brownie-Pudding-970160,0.166666666667,0.666666666667,0.0,0.166666666667,0.0,0.833333333333
Brownie-Walnut-Pie-1332918,0.333333333333,0.833333333333,0.0,0.333333333333,0.166666666667,0.833333333333
Brownies-For-One-1471046,0.666666666667,0.833333333333,0.0,0.5,0.0,0.833333333333
Brownies-Iv-Allrecipes,0.5,0.833333333333,0.0,0.333333333333,0.0,0.833333333333
Brownies-With-Creamy-Chocolate-Frosting-_Vegan_-Raw_-Gluten-Free_-1686869,0.833333333333,0.833333333333,0.0,0.166666666667,0.333333333333,0.666666666667
Brownies-from-Amys-Bread-489804,0.666666666667,0.833333333333,0.0,0.333333333333,0.0,0.833333333333
